$Version=1
$FileExt=.rx2
$RootPath=Data\Patches\Packs\Loops\
$FilePath=Data\Patches\Packs\Loops\
$Alternative=SliceX|Fruity Slicer
$Caption=Loops
$Format=112


;CDName|SubDirName|ItemName|Count|FileSize|ProductCode|Flags|WebLink|MainItemName
LoopMaster Airwave Triloops|125bpm(2)|AW_125_Impulzed_5|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_KillElectroHouse_1|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_KillElectroHouse_2|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_MassiveBreckel_1|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_MassiveGlitch_1|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_MassiveGlitch_2|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_MassiveTeckel_1B|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_MassiveTeckel_3|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_MassiveTeckel_4|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_MassiveTeckel_5|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_MassiveTeckel_6|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_MattFlanger|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_MovieAction_1|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_MultiHouse_1|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_MultiHouse_2|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|Free|AW_125_MultiHouse_3_free|11|5681|82201|1||Free
LoopMaster Airwave Triloops|125bpm(2)|AW_125_MultiHouse_3|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_MultiHouse_4|58|24243|82201|1||125bpm(2)
LoopMaster Airwave Triloops|125bpm(2)|AW_125_NuSkoolFunk_1|58|24243|82201|1||125bpm(2)
